Name,Category,Description,Url,Publication,License
SAMtools,"Mapping, Sequence analysis","SAMtools are widely used for processing and analysing high-throughput sequencing data. They include tools for file format conversion and manipulation, sorting, querying, statistics, variant calling, and effect analysis amongst other methods.",http://www.htslib.org/,https://dx.doi.org/10.1093/bioinformatics/btp352,https://spdx.org/licenses/MIT
BCFtools,"Genetic variation, DNA polymorphism ","BCFtools is a set of utilities that manipulate variant calls in the Variant Call Format (VCF) and its binary counterpart BCF. All commands work transparently with both VCFs and BCFs, both uncompressed and BGZF-compressed.",http://www.htslib.org/,https://dx.doi.org/10.1093/bioinformatics/btp352,https://spdx.org/licenses/MIT
STAR,"RNA-Seq, Transcriptomics",Ultrafast universal RNA-seq data aligner.,https://github.com/alexdobin/STAR,https://dx.doi.org/10.1093/bioinformatics/bts635,https://spdx.org/licenses/GPL-3.0
BWA,Mapping,"Fast, accurate, memory-efficient aligner for short and long sequencing reads.",http://bio-bwa.sourceforge.net/,https://dx.doi.org/10.1093/bioinformatics/btp324,https://spdx.org/licenses/MIT
ClustalW2,"Phylogeny, Sequence analysis","Multiple sequence alignment program with a command-line interface (Clustal W) and a graphical user interface (Clustal X). The display colours allow conserved features to be highlighted for easy viewing in the alignment. It is available for several platforms, including Windows, Macintosh PowerMac, Linux and Solaris. Names occassionally spelled also as Clustal W2, ClustalW, ClustalX, Clustal2. ",http://www.clustal.org/clustal2/,https://dx.doi.org/10.1093/nar/22.22.4673,https://spdx.org/licenses/LGPL-3.0
MAFFT,Sequence analysis,MAFFT (Multiple Alignment using Fast Fourier Transform) is a high speed multiple sequence alignment program.,http://mafft.cbrc.jp/alignment/server/index.html,https://dx.doi.org/10.1007/978-1-62703-646-7_8,https://spdx.org/licenses/BSD-Source-Code
QIIME 2,"Microbial ecology, Phylogeny","QIIME 2™ is a next-generation microbiome bioinformatics platform that is extensible, free, open source, and community developed.",https://qiime2.org/,https://dx.doi.org/10.1038/s41587-019-0209-9,https://spdx.org/licenses/BSD-3-Clause
Bowtie 2,"Mapping, Genomics","Bowtie 2 is an ultrafast and memory-efficient tool for aligning sequencing reads to long reference sequences. It is particularly good at aligning reads of about 50 up to 100s or 1,000s of characters, and particularly good at aligning to relatively long (e.g. mammalian) genomes. Bowtie 2 indexes the genome with an FM Index to keep its memory footprint small: for the human genome, its memory footprint is typically around 3.2 GB. Bowtie 2 supports gapped, local, and paired-end alignment modes.",http://bowtie-bio.sourceforge.net/bowtie2/index.shtml,https://dx.doi.org/10.1038/nmeth.1923,https://spdx.org/licenses/GPL-3.0
edgeR,"Genetics, RNA-Seq","Differential expression analysis of RNA-seq expression profiles with biological replication. Implements a range of statistical methodology based on the negative binomial distributions, including empirical Bayes estimation, exact tests, generalized linear models and quasi-likelihood tests. As well as RNA-seq, it be applied to differential signal analysis of other types of genomic data that produce counts, including ChIP-seq, SAGE and CAGE.",http://bioconductor.org/packages/release/bioc/html/edgeR.html,https://dx.doi.org/10.1093/nar/gks042,https://spdx.org/licenses/GPL-2.0
DESeq2,Transcriptomics,R/Bioconductor package for differential gene expression analysis based on the negative binomial distribution. Estimate variance-mean dependence in count data from high-throughput sequencing assays and test for differential expression based on a model using the negative binomial distribution.,http://bioconductor.org/packages/DESeq2/,https://dx.doi.org/10.1186/s13059-014-0550-8,https://spdx.org/licenses/LGPL-2.1
PLINK,GWAS study,"Free, open-source whole genome association analysis toolset, designed to perform a range of basic, large-scale analyses in a computationally efficient manner.",http://zzz.bwh.harvard.edu/plink/,https://dx.doi.org/10.1086/519795,https://spdx.org/licenses/GPL-2.0
GATK,"Sequence analysis, Genetic variation",The Genome Analysis Toolkit (GATK) is a set of bioinformatic tools for analyzing high-throughput sequencing (HTS) and variant call format (VCF) data. The toolkit is well established for germline short variant discovery from whole genome and exome sequencing data. GATK4 expands functionality into copy number and somatic analyses and offers pipeline scripts for workflows. Version 4 (GATK4) is open-source at https://github.com/broadinstitute/gatk.,https://software.broadinstitute.org/gatk/,https://doi.org/10.1101/gr.107524.110,Mature
BEDTools,Genomics,BEDTools is an extensive suite of utilities for comparing genomic features in BED format.,https://github.com/arq5x/bedtools2,https://doi.org/10.1093/bioinformatics/btq033,https://spdx.org/licenses/GPL-2.0
IGV,"Genomics, Data visualisation","High-performance visualization tool for interactive exploration of large, integrated datasets. It supports a wide variety of data types and format, including short-read alignments in the SAM/BAM format. Data can be viewed from local files or over the web via http.",http://www.broadinstitute.org/igv/,https://dx.doi.org/10.1093/BIB/BBS017,https://spdx.org/licenses/LGPL-2.1
ANNOVAR,"Functional genomics, Genetic variation",A tool for finding relevant genetic variants from high-throughput sequencing data based on functional annotation.,http://annovar.openbioinformatics.org/en/latest/,https://dx.doi.org/10.1093/nar/gkq603,Mature
